NbEvaluations;Fbest
40;27309.0
80;27618.0
120;27554.0
160;27663.0
200;27697.0
240;28054.0
280;28140.0
320;27614.0
360;28127.0
400;28134.0
440;27855.0
480;27960.0
520;28567.0
560;28202.0
600;28526.0
640;28727.0
680;28501.0
720;28208.0
760;28262.0
800;28437.0
840;28666.0
880;28332.0
920;28709.0
960;29054.0
1000;28143.0
1040;27965.0
1080;28003.0
1120;28366.0
1160;28769.0
1200;28585.0
1240;28075.0
1280;29017.0
1320;28575.0
1360;28767.0
1400;28305.0
1440;28628.0
1480;28309.0
1520;28135.0
1560;28590.0
1600;28771.0
1640;28712.0
1680;28555.0
1720;28456.0
1760;28490.0
1800;28627.0
1840;28298.0
1880;28677.0
1920;28737.0
1960;28957.0
2000;28718.0
2040;28101.0
2080;28744.0
2120;28144.0
2160;28774.0
2200;28591.0
2240;28826.0
2280;28163.0
2320;28469.0
2360;28273.0
2400;28449.0
2440;28584.0
2480;28511.0
2520;28179.0
2560;28440.0
2600;28477.0
2640;28843.0
2680;28561.0
2720;28774.0
2760;28983.0
2800;28522.0
2840;28461.0
2880;28856.0
2920;28607.0
2960;28927.0
3000;29397.0
3040;28646.0
3080;28895.0
3120;29030.0
3160;28823.0
3200;28552.0
3240;28184.0
3280;29063.0
3320;28305.0
3360;28206.0
3400;28709.0
3440;29142.0
3480;28494.0
3520;28256.0
3560;28808.0
3600;28596.0
3640;28387.0
3680;28686.0
3720;28969.0
3760;28590.0
3800;28392.0
3840;28623.0
3880;28444.0
3920;28519.0
3960;28552.0
4000;29002.0
