NbEvaluations;Fbest
40;25648.0
80;24926.0
120;26367.0
160;25897.0
200;25512.0
240;25376.0
280;26745.0
320;26749.0
360;25477.0
400;26615.0
440;26480.0
480;27325.0
520;25482.0
560;26684.0
600;27995.0
640;25279.0
680;26145.0
720;26583.0
760;26256.0
800;26582.0
840;26340.0
880;26826.0
920;27302.0
960;26249.0
1000;26346.0
1040;26638.0
1080;26695.0
1120;26153.0
1160;26842.0
1200;26789.0
1240;26455.0
1280;26689.0
1320;26998.0
1360;26401.0
1400;26608.0
1440;27082.0
1480;26777.0
1520;27483.0
1560;27755.0
1600;27608.0
1640;27919.0
1680;27443.0
1720;27169.0
1760;26505.0
1800;27186.0
1840;28000.0
1880;27892.0
1920;28528.0
1960;26296.0
2000;27097.0
2040;27115.0
2080;28045.0
2120;26421.0
2160;26579.0
2200;26942.0
2240;28320.0
2280;26807.0
2320;27244.0
2360;26266.0
2400;27377.0
2440;26508.0
2480;26798.0
2520;26664.0
2560;28347.0
2600;27851.0
2640;26668.0
2680;26952.0
2720;27053.0
2760;27408.0
2800;28669.0
2840;27260.0
2880;26903.0
2920;28484.0
2960;27212.0
3000;27128.0
3040;27512.0
3080;26660.0
3120;26154.0
3160;27343.0
3200;27113.0
3240;27328.0
3280;28204.0
3320;27005.0
3360;26666.0
3400;27650.0
3440;27043.0
3480;27152.0
3520;28086.0
3560;28295.0
3600;26912.0
3640;28044.0
3680;27502.0
3720;27835.0
3760;26901.0
3800;26861.0
3840;27046.0
3880;27724.0
3920;26639.0
3960;26761.0
4000;27655.0
