NbEvaluations;Fbest
40;28058.0
80;27390.0
120;27839.0
160;27491.0
200;28752.0
240;27984.0
280;28421.0
320;27743.0
360;28444.0
400;28604.0
440;27456.0
480;27758.0
520;27956.0
560;28269.0
600;28433.0
640;28108.0
680;27735.0
720;28081.0
760;28746.0
800;28125.0
840;28382.0
880;27872.0
920;28087.0
960;28499.0
40;26931.0
80;27731.0
120;27516.0
160;28070.0
200;28055.0
240;27792.0
280;28946.0
320;27897.0
360;28118.0
400;28665.0
440;28061.0
480;28132.0
520;28006.0
560;28279.0
600;28033.0
640;28309.0
680;27823.0
720;28046.0
760;28273.0
800;28177.0
840;28208.0
880;28360.0
920;28200.0
960;29291.0
40;27252.0
80;27314.0
120;28080.0
160;27861.0
200;28325.0
240;28238.0
280;28626.0
320;28134.0
360;28493.0
400;28205.0
440;28639.0
480;27950.0
520;28650.0
560;28065.0
600;28057.0
640;28664.0
680;28209.0
720;27719.0
760;28009.0
800;28243.0
840;28076.0
880;28403.0
920;28010.0
960;28483.0
40;27465.0
80;27613.0
120;27642.0
160;28436.0
200;27583.0
240;28138.0
280;27875.0
320;27996.0
360;27946.0
400;28356.0
440;29005.0
480;28539.0
520;28367.0
560;28783.0
600;27783.0
640;27619.0
680;28274.0
720;28022.0
760;28128.0
800;28057.0
840;28330.0
880;28234.0
920;28326.0
960;28115.0
40;27034.0
80;27634.0
120;27466.0
160;28349.0
200;27845.0
240;27614.0
280;28259.0
320;28095.0
360;27937.0
400;28224.0
440;28169.0
480;27700.0
520;28282.0
560;28134.0
600;28075.0
640;28422.0
680;27934.0
720;27874.0
760;28086.0
800;27972.0
840;28524.0
880;28908.0
920;28243.0
960;28340.0
40;27538.0
80;28209.0
120;27901.0
160;27442.0
200;27887.0
240;27509.0
280;28108.0
320;27706.0
360;28536.0
400;28212.0
440;28033.0
480;28103.0
520;28211.0
560;28402.0
600;27934.0
640;28375.0
680;28916.0
720;27897.0
760;28478.0
800;28252.0
840;28478.0
880;28147.0
920;28127.0
960;28435.0
40;27656.0
80;28349.0
120;27757.0
160;27669.0
200;27675.0
240;28093.0
280;28066.0
320;27913.0
360;27636.0
400;27805.0
440;28169.0
480;27947.0
520;28651.0
560;27738.0
600;27929.0
640;28187.0
680;28343.0
720;28052.0
760;28339.0
800;28104.0
840;28230.0
880;28173.0
920;27977.0
960;28333.0
40;27424.0
80;27153.0
120;27430.0
160;28862.0
200;27833.0
240;27755.0
280;27348.0
320;27679.0
360;28121.0
400;28675.0
440;28838.0
480;27852.0
520;29480.0
560;28026.0
600;28126.0
640;28387.0
680;28111.0
720;29149.0
760;28462.0
800;28247.0
840;28215.0
880;28319.0
920;28627.0
960;28087.0
40;27458.0
80;27848.0
120;27188.0
160;27821.0
200;27974.0
240;28109.0
280;27809.0
320;28264.0
360;28065.0
400;27965.0
440;28040.0
480;28567.0
520;28918.0
560;28261.0
600;28091.0
640;28019.0
680;27877.0
720;28017.0
760;28878.0
800;28470.0
840;28208.0
880;29242.0
920;27650.0
960;28253.0
40;27071.0
80;27679.0
120;28432.0
160;27638.0
200;28248.0
240;28019.0
280;28047.0
320;27744.0
360;27756.0
400;28187.0
440;28520.0
480;27870.0
520;28573.0
560;27902.0
600;28389.0
640;28737.0
680;28294.0
720;27927.0
760;27984.0
800;28224.0
840;27958.0
880;28320.0
920;28167.0
960;28475.0
40;26734.0
80;26956.0
120;27964.0
160;27159.0
200;27320.0
240;27688.0
280;27850.0
320;27981.0
360;27772.0
400;27846.0
440;28366.0
480;28153.0
520;28918.0
560;28854.0
600;28252.0
640;28191.0
680;28617.0
720;28185.0
760;28457.0
800;28146.0
840;28523.0
880;27665.0
920;29212.0
960;27986.0
40;27648.0
80;27843.0
120;27183.0
160;28177.0
200;27723.0
240;27520.0
280;28165.0
320;28332.0
360;27869.0
400;28228.0
440;27791.0
480;27998.0
520;28029.0
560;28304.0
600;28305.0
640;28174.0
680;27910.0
720;27921.0
760;28284.0
800;28265.0
840;28472.0
880;28275.0
920;28422.0
960;28769.0
40;27379.0
80;28110.0
120;27554.0
160;27858.0
200;28126.0
240;28100.0
280;28643.0
320;28647.0
360;27771.0
400;28505.0
440;28584.0
480;27844.0
520;27818.0
560;28626.0
600;27590.0
640;28430.0
680;28173.0
720;27860.0
760;27790.0
800;28391.0
840;28315.0
880;28064.0
920;28575.0
960;27885.0
40;28128.0
80;27918.0
120;27371.0
