NbEvaluations;Fbest
100;25491.0
200;24854.0
300;26394.0
400;26632.0
500;26602.0
600;27077.0
700;25800.0
800;26733.0
900;27094.0
1000;26411.0
1100;27349.0
1200;28015.0
1300;26389.0
1400;26979.0
1500;26997.0
1600;27530.0
1700;26674.0
1800;26967.0
1900;27309.0
2000;27005.0
2100;27328.0
2200;27395.0
2300;27873.0
2400;27520.0
2500;27506.0
2600;28062.0
2700;26970.0
2800;27408.0
2900;28040.0
3000;26723.0
3100;27537.0
3200;27235.0
3300;26620.0
3400;26683.0
3500;26860.0
3600;26261.0
3700;27554.0
3800;26421.0
3900;27022.0
4000;26434.0
4100;27476.0
4200;27596.0
4300;26481.0
4400;26699.0
4500;26939.0
4600;27566.0
4700;27521.0
4800;27454.0
4900;28229.0
5000;26818.0
5100;27578.0
5200;26876.0
5300;27241.0
5400;27243.0
5500;27446.0
5600;28689.0
5700;28414.0
5800;26828.0
5900;27293.0
6000;26434.0
6100;27905.0
6200;27864.0
6300;27074.0
6400;27703.0
6500;27675.0
6600;27326.0
6700;26722.0
6800;26990.0
6900;26780.0
7000;27976.0
7100;26857.0
7200;28038.0
7300;27190.0
7400;28025.0
7500;26982.0
7600;27190.0
7700;27265.0
7800;27814.0
7900;27398.0
8000;27079.0
8100;27721.0
8200;27268.0
8300;28184.0
8400;27281.0
8500;27461.0
8600;26863.0
8700;27154.0
8800;27271.0
8900;26835.0
9000;26516.0
9100;27321.0
9200;26993.0
9300;27314.0
9400;26893.0
9500;27731.0
9600;26740.0
9700;26303.0
9800;26619.0
9900;26644.0
100;25767.0
200;25011.0
300;26506.0
400;26629.0
500;27000.0
600;26554.0
700;28113.0
800;27048.0
900;26269.0
1000;26794.0
1100;28254.0
1200;26644.0
1300;26247.0
1400;27297.0
1500;26210.0
1600;27323.0
1700;27488.0
1800;27442.0
1900;26681.0
2000;26735.0
2100;26677.0
2200;26905.0
2300;27594.0
2400;26909.0
2500;27553.0
2600;27092.0
2700;27943.0
2800;27132.0
2900;27139.0
3000;27621.0
3100;26514.0
3200;26707.0
3300;26798.0
3400;27303.0
3500;27082.0
3600;27694.0
3700;27430.0
3800;26591.0
3900;26802.0
4000;28602.0
4100;27731.0
4200;26891.0
4300;27138.0
4400;27857.0
4500;27429.0
4600;26698.0
4700;27254.0
4800;26926.0
4900;27511.0
5000;27123.0
5100;27526.0
5200;26956.0
5300;28102.0
5400;27124.0
5500;27294.0
5600;27035.0
5700;26825.0
5800;27186.0
5900;27459.0
6000;26878.0
6100;27921.0
6200;26673.0
6300;28122.0
6400;27663.0
6500;27545.0
6600;27561.0
6700;27257.0
6800;27338.0
6900;26949.0
7000;27254.0
7100;26228.0
7200;27219.0
7300;26577.0
7400;27350.0
7500;27943.0
7600;26894.0
7700;27465.0
7800;26972.0
7900;26300.0
8000;26359.0
8100;26653.0
8200;26674.0
8300;28042.0
8400;27876.0
8500;27318.0
8600;27132.0
8700;27125.0
8800;27567.0
8900;27439.0
9000;27669.0
9100;26876.0
9200;27033.0
9300;26481.0
9400;26445.0
9500;27703.0
9600;27745.0
9700;26732.0
9800;26951.0
9900;26899.0
100;24882.0
200;25627.0
300;26988.0
400;25782.0
500;25215.0
600;26140.0
700;26383.0
800;26888.0
900;26999.0
1000;26993.0
1100;26370.0
1200;27665.0
1300;26894.0
1400;26411.0
1500;27208.0
1600;27226.0
1700;26993.0
1800;26978.0
1900;26640.0
2000;27714.0
2100;26954.0
2200;27619.0
2300;27031.0
2400;27927.0
2500;26985.0
2600;27765.0
2700;26800.0
2800;26596.0
2900;28539.0
3000;26528.0
3100;26915.0
3200;27313.0
3300;27236.0
3400;27632.0
3500;26297.0
3600;26448.0
3700;26643.0
3800;27214.0
3900;26421.0
4000;27076.0
4100;27116.0
4200;27233.0
4300;27351.0
4400;27546.0
4500;26639.0
4600;27059.0
4700;26493.0
4800;26641.0
4900;27187.0
5000;27092.0
5100;26386.0
5200;26096.0
5300;27381.0
5400;27499.0
5500;27846.0
5600;26296.0
5700;27769.0
5800;27193.0
5900;26913.0
6000;27638.0
6100;27118.0
6200;26879.0
6300;26682.0
6400;27507.0
6500;27788.0
6600;28150.0
6700;27316.0
6800;27113.0
6900;26877.0
7000;26916.0
7100;27059.0
7200;26606.0
7300;27012.0
7400;27185.0
7500;27109.0
7600;27661.0
7700;26371.0
7800;27559.0
7900;26301.0
8000;27476.0
8100;28097.0
8200;26520.0
8300;27381.0
8400;26153.0
8500;27216.0
8600;27587.0
8700;27393.0
8800;26875.0
8900;26647.0
9000;26869.0
9100;27400.0
9200;26762.0
9300;26632.0
9400;27492.0
9500;27219.0
9600;26519.0
9700;27108.0
9800;26409.0
9900;26852.0
100;25220.0
200;25738.0
300;27129.0
400;26985.0
500;25475.0
600;27076.0
700;25776.0
800;26460.0
900;26972.0
1000;26259.0
1100;27690.0
1200;26865.0
1300;25960.0
1400;26864.0
1500;27397.0
1600;27651.0
1700;27237.0
1800;26201.0
1900;26987.0
2000;27360.0
2100;26195.0
2200;27051.0
2300;26830.0
2400;27345.0
2500;27301.0
2600;27306.0
