NbEvaluations;Fbest
100;27909.0
200;27830.0
300;26965.0
400;26888.0
500;28244.0
600;26648.0
700;28410.0
800;26650.0
900;27833.0
100;27493.0
200;27653.0
300;27097.0
400;27643.0
500;27496.0
600;27436.0
700;28273.0
800;28155.0
900;26820.0
100;26572.0
200;26775.0
300;27661.0
400;27798.0
500;26860.0
600;28042.0
700;27164.0
800;26781.0
900;26753.0
100;26585.0
200;28178.0
300;26787.0
400;26854.0
500;27513.0
600;27380.0
700;27491.0
800;26945.0
900;27777.0
100;26743.0
200;27978.0
300;28177.0
400;26929.0
500;27143.0
600;27792.0
700;27645.0
800;26922.0
900;26362.0
100;26662.0
200;26506.0
300;27438.0
400;26570.0
500;27329.0
600;27208.0
700;27403.0
800;26326.0
900;27473.0
100;26652.0
200;27476.0
300;27767.0
400;27907.0
500;26393.0
600;27543.0
700;27073.0
800;27470.0
900;27244.0
100;27472.0
200;26904.0
300;27360.0
400;28424.0
500;27696.0
600;26947.0
700;27043.0
800;27056.0
900;26798.0
100;26386.0
200;27480.0
300;26779.0
400;26538.0
500;26214.0
600;27340.0
700;26642.0
800;27124.0
900;27119.0
100;27034.0
200;27475.0
300;27324.0
400;26721.0
500;26679.0
600;26866.0
700;26830.0
800;27327.0
900;27054.0
