NbEvaluations;Fbest
100;25989.0
200;26401.0
300;25317.0
400;25806.0
500;27126.0
600;26592.0
700;27061.0
800;26377.0
900;26417.0
1000;26219.0
1100;25858.0
1200;27065.0
1300;26646.0
1400;28140.0
1500;27005.0
1600;27977.0
1700;27958.0
1800;27517.0
1900;27360.0
2000;26785.0
2100;26405.0
2200;27988.0
2300;26980.0
2400;26719.0
2500;27256.0
2600;27338.0
2700;26715.0
2800;27553.0
2900;27995.0
3000;27506.0
3100;27500.0
3200;26825.0
3300;26951.0
3400;27221.0
3500;27066.0
3600;26622.0
3700;27672.0
3800;26386.0
3900;26858.0
4000;26395.0
4100;28301.0
4200;26704.0
4300;27473.0
4400;27704.0
4500;27926.0
4600;27464.0
4700;26634.0
4800;26737.0
4900;26765.0
5000;26851.0
5100;26412.0
5200;26448.0
5300;26399.0
5400;26877.0
5500;26942.0
5600;26506.0
5700;26732.0
5800;26813.0
5900;28336.0
6000;26906.0
6100;27611.0
6200;27331.0
6300;26560.0
6400;26949.0
6500;26622.0
6600;26473.0
6700;26854.0
6800;27202.0
6900;27165.0
7000;28268.0
7100;28746.0
7200;26396.0
7300;26941.0
7400;26752.0
7500;26692.0
7600;27196.0
7700;27390.0
7800;26215.0
7900;27209.0
8000;27662.0
8100;26964.0
8200;26703.0
8300;27416.0
8400;26729.0
8500;27318.0
8600;26997.0
8700;27442.0
8800;27293.0
8900;26692.0
9000;26497.0
9100;26704.0
9200;26521.0
9300;27002.0
9400;26652.0
9500;26350.0
9600;27062.0
9700;26624.0
9800;27270.0
9900;27584.0
10000;27951.0
100;25617.0
200;27180.0
300;25530.0
400;25230.0
500;26943.0
600;25536.0
700;26270.0
800;27317.0
900;27378.0
1000;25833.0
1100;27620.0
1200;27768.0
1300;26944.0
1400;26641.0
1500;26968.0
1600;27967.0
1700;27112.0
1800;26322.0
1900;27224.0
2000;26908.0
2100;26467.0
2200;26923.0
2300;27294.0
2400;27624.0
2500;26518.0
2600;27176.0
2700;26530.0
2800;26837.0
2900;26654.0
3000;26862.0
3100;27108.0
3200;26399.0
3300;27237.0
3400;26771.0
3500;27118.0
3600;26178.0
3700;27046.0
3800;26854.0
3900;27411.0
4000;27254.0
4100;27649.0
4200;27031.0
4300;26692.0
4400;27225.0
4500;27122.0
4600;27751.0
4700;26665.0
4800;28306.0
4900;27138.0
5000;26604.0
5100;26650.0
5200;26927.0
5300;27232.0
5400;27103.0
5500;27056.0
5600;27313.0
5700;27596.0
5800;26844.0
5900;26705.0
6000;26677.0
6100;27548.0
6200;26808.0
6300;27658.0
6400;27927.0
6500;27775.0
6600;26354.0
6700;27692.0
6800;27064.0
6900;26630.0
7000;27103.0
7100;27575.0
7200;26381.0
7300;27009.0
7400;26803.0
7500;27168.0
7600;26722.0
7700;26528.0
7800;27896.0
7900;26890.0
8000;26458.0
8100;26679.0
8200;26582.0
8300;27361.0
8400;28090.0
8500;28633.0
