NbEvaluations;Fbest
100;28050.0
200;27809.0
300;28282.0
400;28671.0
500;28404.0
600;28026.0
700;28469.0
800;28561.0
900;28358.0
1000;28939.0
1100;28211.0
1200;28311.0
1300;28680.0
1400;28665.0
1500;28166.0
1600;28403.0
1700;28385.0
1800;28800.0
1900;27986.0
2000;28822.0
2100;28224.0
2200;28623.0
2300;28951.0
2400;29153.0
2500;28663.0
2600;28424.0
2700;28460.0
2800;28696.0
2900;28573.0
3000;28714.0
3100;28564.0
3200;28579.0
3300;29053.0
3400;28741.0
3500;29032.0
3600;28822.0
3700;28742.0
3800;28216.0
3900;28928.0
4000;28823.0
4100;28174.0
4200;28214.0
4300;28433.0
4400;28760.0
4500;28483.0
4600;29047.0
4700;28573.0
4800;28878.0
4900;28787.0
5000;28898.0
100;27661.0
200;28911.0
300;28582.0
400;28099.0
500;28654.0
600;28080.0
700;27729.0
800;28372.0
900;28635.0
1000;27861.0
1100;28579.0
1200;28128.0
1300;28073.0
1400;28008.0
1500;28122.0
1600;28169.0
1700;28447.0
1800;28773.0
1900;28274.0
2000;28501.0
2100;28671.0
2200;28354.0
2300;28882.0
2400;28577.0
2500;28587.0
2600;28520.0
2700;28369.0
2800;28410.0
2900;28618.0
3000;28651.0
3100;28506.0
3200;28441.0
3300;28621.0
3400;28658.0
3500;28384.0
3600;28901.0
3700;28940.0
3800;28387.0
3900;28607.0
4000;28566.0
4100;28861.0
4200;29015.0
4300;28992.0
4400;28893.0
4500;29133.0
4600;28570.0
4700;28455.0
4800;28672.0
4900;28639.0
5000;28720.0
100;28165.0
200;28571.0
300;28652.0
400;28350.0
500;27942.0
600;28419.0
700;28131.0
800;28220.0
900;28013.0
1000;28136.0
1100;28231.0
1200;28256.0
1300;27895.0
1400;28217.0
1500;28338.0
1600;28706.0
1700;28251.0
1800;28178.0
1900;28409.0
2000;28938.0
2100;28737.0
2200;28812.0
2300;28443.0
2400;28224.0
2500;28326.0
2600;28681.0
2700;28383.0
2800;28563.0
2900;28340.0
3000;29325.0
3100;28981.0
3200;28582.0
3300;28424.0
3400;28819.0
3500;28843.0
3600;28556.0
3700;28680.0
3800;28254.0
3900;28798.0
4000;28950.0
4100;29910.0
4200;28610.0
4300;28932.0
4400;28553.0
4500;28493.0
4600;29006.0
4700;29037.0
4800;28646.0
4900;28791.0
5000;29238.0
100;28447.0
200;27612.0
300;27532.0
400;28286.0
500;28036.0
600;28075.0
700;28140.0
800;28398.0
900;27955.0
1000;28281.0
1100;28556.0
1200;27774.0
1300;28340.0
1400;28334.0
1500;28261.0
1600;28197.0
1700;29095.0
1800;28780.0
1900;28507.0
2000;28552.0
2100;28483.0
2200;28184.0
2300;28167.0
2400;28585.0
2500;29168.0
2600;28553.0
2700;28549.0
2800;28796.0
2900;28404.0
3000;28380.0
3100;28506.0
3200;29138.0
3300;28584.0
3400;28739.0
3500;28678.0
3600;28630.0
3700;28428.0
3800;28657.0
3900;29431.0
4000;28621.0
4100;28980.0
4200;28726.0
4300;28832.0
4400;28708.0
4500;29082.0
4600;28796.0
4700;28696.0
4800;29114.0
4900;28739.0
5000;28922.0
100;28091.0
200;27915.0
300;28107.0
400;27699.0
500;28037.0
600;29024.0
700;28601.0
800;28245.0
900;28110.0
1000;28487.0
1100;28655.0
1200;28997.0
1300;28771.0
1400;28799.0
1500;28252.0
1600;28584.0
1700;28822.0
1800;28736.0
1900;28427.0
2000;28479.0
2100;28922.0
2200;28250.0
2300;28696.0
2400;28338.0
2500;28986.0
2600;28701.0
2700;28496.0
2800;28740.0
2900;28440.0
3000;28787.0
3100;28559.0
3200;28327.0
3300;28343.0
3400;29339.0
3500;28777.0
3600;28958.0
3700;28564.0
3800;28966.0
3900;28679.0
4000;28272.0
4100;28579.0
4200;28780.0
4300;28473.0
4400;28400.0
4500;28643.0
4600;28421.0
4700;29165.0
4800;29062.0
4900;29249.0
5000;28355.0
100;27325.0
200;27823.0
300;27727.0
400;28270.0
500;28206.0
600;28313.0
700;28473.0
800;28529.0
900;28243.0
1000;28146.0
1100;28164.0
1200;28460.0
1300;28631.0
1400;28250.0
1500;28277.0
1600;28306.0
1700;28705.0
1800;28393.0
1900;28787.0
2000;28227.0
2100;28221.0
2200;28633.0
2300;28414.0
2400;28410.0
2500;28532.0
2600;28274.0
2700;29025.0
2800;28594.0
2900;28479.0
3000;28285.0
3100;28888.0
3200;28188.0
3300;28654.0
3400;28792.0
3500;28685.0
3600;28401.0
3700;28303.0
3800;29281.0
3900;28565.0
4000;29169.0
4100;28581.0
4200;28771.0
4300;28469.0
4400;29040.0
4500;28898.0
4600;28684.0
4700;29102.0
4800;28578.0
4900;28779.0
5000;28555.0
100;27152.0
200;27878.0
300;27820.0
400;27969.0
500;27892.0
600;28200.0
700;28409.0
800;28331.0
900;28115.0
1000;28180.0
1100;28328.0
1200;28934.0
1300;28615.0
1400;28611.0
1500;28440.0
1600;28311.0
1700;28647.0
1800;28220.0
1900;28638.0
2000;28439.0
2100;28411.0
2200;28467.0
2300;28218.0
2400;28336.0
2500;28327.0
2600;28673.0
2700;28544.0
2800;28293.0
2900;29139.0
3000;29086.0
3100;28506.0
3200;28586.0
3300;28512.0
3400;28738.0
3500;28400.0
3600;29262.0
3700;28645.0
3800;28685.0
3900;29133.0
4000;28786.0
4100;28538.0
4200;28443.0
4300;28756.0
4400;28468.0
4500;28721.0
4600;28627.0
